"B1","B2","B3","B4","B55","B6","B7","B10","B11","profundidade_S","profundidade_ZF","profundidade_F","temperatura_ar","temperatura_agua_S","temperatura_agua_ZF","temperatura_agua_F","condutividade_eletrica_S","condutividade_eletrica_ZF","condutividade_eletrica_F","ph_S","ph_ZF","ph_F","oxigenio_dissolvido_S","oxigenio_dissolvido_ZF","oxigenio_dissolvido_F","clorofila_a_S","clorofila_a_ZF","clorofila_a_F","fosforo_S","fosforo_ZF","fosforo_F","nitrogenio_S","nitrogenio_ZF","nitrogenio_F","solidos_suspensao_S","solidos_suspensao_ZF","solidos_suspensao_F","alcalinidade_S","alcalinidade_ZF","alcalinidade_F","nitrato_S","nitrato_ZF","nitrato_F","dbo_S","dbo_ZF","dbo_F","sdt_S","sdt_ZF","sdt_F","potencial_redox_S","potencial_redox_ZF","potencial_redox_F","coliformes_termotolerantes_S","coliformes_termotolerantes_ZF","coliformes_termotolerantes_F","cor_verdadeira_S","cor_verdadeira_ZF","cor_verdadeira_F","ferro_dissolvido_S","ferro_dissolvido_ZF","ferro_dissolvido_F","dqo_S","dqo_ZF","dqo_F","oleos_graxas_S","oleos_graxas_ZF","oleos_graxas_F","solidos_totais_S","solidos_totais_ZF","solidos_totais_F","iet_S","iet_ZF","iet_F","sulfeto_S","sulfeto_ZF","sulfeto_F","sulfato_S","sulfato_ZF","sulfato_F","iqa_S","iqa_ZF","iqa_F","surfactantes_S","surfactantes_ZF","surfactantes_F","turbidez_S","turbidez_ZF","turbidez_F","transparencia_S","transparencia_ZF","transparencia_F","dod_S","dod_ZF","dod_F","manganes_total_S","manganes_total_ZF","manganes_total_F","pontos_coleta","data_imagem","data_coleta"
"237","311","541","295","79","29","22","2957","2939","0.2","2","","24.7","27.2","25.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","3.55","4.09","","0","","","","","","0","","","TM15","04_05_16","03_05_16"
"208","269","515","263","88","39","28","2957","2939","0.2","2","","25.5","26.4","25.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","3.35","4.60","","1.30","","","","","","0","","","TM20","04_05_16","03_05_16"
"311","393","710","487","102","42","28","2959","2942","0.2","1","","26.9","26.3","26.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","7.19","7.28","","0","","","","","","0","","","TM25","04_05_16","03_05_16"
"238","300","544","317","109","73","59","2969","2950","0.2","2","","23.2","26.2","26.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","4.03","8.01","","0","","","","","","0","","","TM30","04_05_16","04_05_16"
"404","524","927","569","101","37","22","2957","2937","0.2","16","","25","26.7","26.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","8.29","7.48","","0","","","","","","0","","","TM35","04_05_16","04_05_16"
"333","418","730","347","74","33","18","2962","2942","0.2","3","","23.9","25.9","27.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","4.12","3.87","","0","","","","","","0","","","TM40","04_05_16","29_04_16"
"299","384","620","304","108","56","33","2942","2925","0","3","","31.3","0","26.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","0","","","","","","","","","5.49","5.98","","2","","","","","","0","","","TM15","24_08_16","25_08_16"
"277","358","637","402","113","63","41","2941","2926","0.2","3","","31.2","26","25.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57","","","","","","","","","11","","","","","","","","","","","","57","","","","","","","","","1.13","","","","","","","","","8.31","10.40","","2","","","","","","0.03","","","TM20","24_08_16","25_08_16"
"225","288","469","230","103","66","48","2943","2927","0.2","3","","28.5","26.5","26.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53","","","","","","","","","10","","","","","","","","","","","","53","","","","","","","","","1","","","","","","","","","2.75","7.48","","2","","","","","","0.025","","","TM25","24_08_16","25_08_16"
"311","363","664","387","173","152","92","2963","2942","0.2","2.25","","29.8","26.1","26.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.5","","","","","","","","","13","","","","","","","","","","","","49","","","","","","","","","1.44","","","","","","","","","6.20","8.25","","1.50","","","","","","0.025","","","TM30","24_08_16","24_08_16"
